ID, AllowPush, AdOptedIn, NumCampaignMatch, Carrier, AppVersion, AllowiBeacon, AllowGeo, AllowFeaturePush, ScreenHeight, AllowBT, HaveUniqueGlobalID, NumCrash, DailyUsage, "continent", LastUpdateDays, DeviceModel, BlockPushTF, BlockPushSameday, BlockPushAfter, OS, OSVersion, RevokePushTF, RevokePushBefore, RevokePushSameday, RevokePushAfter, SignIn, UninstalledTF, UninstalledSameday, UninstalledAfter, ScreenWidth, EmailExist, EmailAddress, InstallDays, PushCount, Timezone, UserType, Questions, CorrectQuestion
HHBMAH1V16FRGNI5, 0, 0, 0, Spark NZ, 1071256, 1, 0, 1, 568, 0, 1, 0, 1, OC, 17, iPhone 5s, 0, 0, 0, ios, 841, 1, 1, 0, 0, 1, 0, 0, 0, 320, 1, 1, 17, 0, 13, Paid, 125, 48
BR6630AR1AB0QFYU, 1, 0, 0, Bouygues Telecom, 1071256, 1, 0, 1, 568, 0, 1, 0, 1, EU, 23, iPhone 5, 0, 0, 0, ios, 910, 0, 0, 0, 0, 1, 0, 0, 0, 320, 1, 1, 22, 0, 1, Paid, 1759, 64
E3OE6JVVE5K0F5RW, 1, 0, 0, non-ascii1, 1071256, 1, 0, 1, 480, 0, 1, 0, 1, NA, 23, Unknown iPad2, 0, 0, 0, ios, 830, 0, 0, 0, 0, 1, 0, 0, 0, 320, 1, 1, 22, 0, -8, Paid, 1555, 44
EPT22OJWESBEQ8KG, 1, 0, 0, Koodo, 1071256, 1, 0, 1, 667, 0, 1, 0, 1, NA, 23, iPhone 6, 0, 0, 0, ios, 910, 0, 0, 0, 0, 1, 0, 0, 0, 375, 1, 1, 23, 0, -4, Paid, 10, 70
IDRNDNMC6KGK6TRK, 0, 0, 0, M1 Singapore, 1071256, 1, 0, 1, 568, 0, 1, 0, 1, AS, 25, iPhone 5s, 0, 0, 0, ios, 841, 1, 1, 0, 0, 1, 0, 0, 0, 320, 1, 1, 25, 0, 8, Paid, 691, 42
GE5G51VH8NPRB5YV, 1, 0, 0, Verizon, 1071256, 1, 1, 1, 667, 1, 1, 0, 1, NA, 23, iPhone 6, 0, 0, 0, ios, 910, 0, 0, 0, 0, 1, 0, 0, 0, 375, 1, 1, 23, 0, -5, Paid, 832, 78
8IYEAV219QCSGO26, 0, 0, 0, Orange France, 1071256, 1, 0, 1, 568, 0, 1, 0, 1, EU, 30, iPhone 5s, 0, 0, 0, ios, 910, 1, 1, 0, 0, 1, 0, 0, 0, 320, 1, 1, 29, 0, 1, Paid, 1621, 57
CUK7JQJRA0OPLDL2, 1, 0, 0, Vodafone India, 1071256, 1, 1, 1, 568, 1, 1, 0, 1, AS, 27, iPhone 5, 0, 0, 0, ios, 902, 0, 0, 0, 0, 1, 0, 0, 0, 320, 1, 0, 27, 0, 5, Paid, 568, 27
4PJWUFFCA99ZKBPB, 1, 0, 0, VIVO, 1071256, 1, 1, 1, 568, None, 1, 0, 1, SA, 32, iPhone 5s, 0, 0, 0, ios, 910, 0, 0, 0, 0, 1, 0, 0, 0, 320, 1, 1, 32, 0, -2, Paid, 401, 62
L408ASV0Q2YL6BBJ, 1, 0, 0, non-ascii2, 1071256, 1, 1, 1, 736, None, 1, 0, 1, AS, 34, Unknown iPhone8, 0, 0, 0, ios, 910, 0, 0, 0, 0, 1, 0, 0, 0, 414, 1, 1, 34, 0, 9, Paid, 305, 48
3F90TX3AU8RGCBKZ, 0, 0, 0, Verizon, 1061241, 1, 1, 1, 568, 0, 1, 0, 1, NA, 35, iPhone 5s, 0, 0, 0, ios, 712, 1, 1, 0, 0, 1, 0, 0, 0, 320, 1, 1, 35, 0, -5, Paid, 381, 61
GXQVQX5S2NN2XFOB, 1, 0, 6, O2, 1071256, 1, 1, 1, 667, 0, 1, 0, 1, EU, 39, Unknown iPhone8, 0, 0, 0, ios, 910, 0, 0, 0, 0, 1, 0, 0, 0, 375, 1, 1, 38, 6, 0, Paid, 290, 52
7PFIR52VOAYCU576, 0, 0, 0, Sprint, 1071256, 1, 0, 1, 667, 0, 1, 0, 1, NA, 40, iPhone 6, 0, 0, 0, ios, 840, 1, 1, 0, 0, 1, 0, 0, 0, 375, 1, 1, 40, 0, -6, Paid, 672, 66
D78CA0H5DEINNOI5, 0, 0, 0, EE, 1071256, 1, 1, 1, 667, 1, 1, 0, 1, EU, 41, iPhone 6, 0, 0, 0, ios, 813, 1, 1, 0, 0, 1, 0, 0, 0, 375, 1, 1, 41, 0, 0, Paid, 1093, 60
LCZUYSFKO8VAV1BH, 0, 0, 0, Swisscom, 1071256, 1, 0, 1, 667, 0, 1, 0, 1, EU, 43, Unknown iPhone8, 0, 0, 0, ios, 910, 1, 1, 0, 0, 1, 0, 0, 0, 375, 1, 0, 43, 0, 1, Paid, 480, 76
